country_code,Year,Unemployment rate (%)
Austria,2024,5.439
Austria,2023,5.264
Austria,2022,4.992
Austria,2021,6.459
Austria,2020,5.201
Austria,2019,4.56
Austria,2018,4.933
Austria,2017,5.561
Austria,2016,6.064
Austria,2015,5.802
Austria,2014,5.674
Austria,2013,5.367
Austria,2012,4.909
Austria,2011,4.637
Austria,2010,4.883
Austria,2009,5.371
Austria,2008,4.198
Austria,2007,4.909
Austria,2006,5.32
Austria,2005,5.682
Austria,2004,5.969
Austria,2003,4.779
Austria,2002,4.852
Austria,2001,4.007
Austria,2000,4.687
Austria,1999,4.699
Austria,1998,5.483
Austria,1997,5.15
Austria,1996,5.282
Austria,1995,4.345
Austria,1994,3.535
Austria,1993,4.25
Austria,1992,3.59
Austria,1991,3.42
Belgium,2024,5.488
Belgium,2023,5.528
Belgium,2022,5.57
Belgium,2021,6.248
Belgium,2020,5.545
Belgium,2019,5.364
Belgium,2018,5.941
Belgium,2017,7.09
Belgium,2016,7.83
Belgium,2015,8.482
Belgium,2014,8.523
Belgium,2013,8.425
Belgium,2012,7.542
Belgium,2011,7.14
Belgium,2010,8.293
Belgium,2009,7.908
Belgium,2008,6.976
Belgium,2007,7.459
Belgium,2006,8.246
Belgium,2005,8.44
Belgium,2004,7.363
Belgium,2003,7.68
Belgium,2002,6.91
Belgium,2001,6.178
Belgium,2000,6.586
Belgium,1999,8.649
Belgium,1998,9.322
Belgium,1997,8.95
Belgium,1996,9.483
Belgium,1995,9.337
Belgium,1994,9.645
Belgium,1993,8.078
Belgium,1992,6.702
Belgium,1991,6.984
Bulgaria,2024,4.104
Bulgaria,2023,4.319
Bulgaria,2022,4.268
Bulgaria,2021,5.267
Bulgaria,2020,5.125
Bulgaria,2019,4.23
Bulgaria,2018,5.211
Bulgaria,2017,6.164
Bulgaria,2016,7.575
Bulgaria,2015,9.143
Bulgaria,2014,11.424
Bulgaria,2013,12.941
Bulgaria,2012,12.27
Bulgaria,2011,11.26
Bulgaria,2010,10.279
Bulgaria,2009,6.817
Bulgaria,2008,5.609
Bulgaria,2007,6.878
Bulgaria,2006,8.951
Bulgaria,2005,10.083
Bulgaria,2004,12.037
Bulgaria,2003,13.733
Bulgaria,2002,18.11
Bulgaria,2001,19.921
Bulgaria,2000,16.218
Bulgaria,1999,14.1
Bulgaria,1998,12.2
Bulgaria,1997,13.7
Bulgaria,1996,12.5
Bulgaria,1995,11.1
Bulgaria,1994,12.8
Bulgaria,1993,16.4
Bulgaria,1992,15.3
Bulgaria,1991,11.1
Cyprus,2024,5.602
Cyprus,2023,6.098
Cyprus,2022,6.806
Cyprus,2021,7.513
Cyprus,2020,7.755
Cyprus,2019,7.155
Cyprus,2018,8.504
Cyprus,2017,11.155
Cyprus,2016,13.006
Cyprus,2015,15.026
Cyprus,2014,16.277
Cyprus,2013,16.131
Cyprus,2012,12.097
Cyprus,2011,7.942
Cyprus,2010,6.359
Cyprus,2009,5.594
Cyprus,2008,3.756
Cyprus,2007,3.946
Cyprus,2006,4.593
Cyprus,2005,5.481
Cyprus,2004,4.77
Cyprus,2003,4.153
Cyprus,2002,3.336
Cyprus,2001,4.043
Cyprus,2000,4.766
Cyprus,1999,5.532
